year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,PRY,Paraguay,PY,Alto Paraguay,PY17,9021,10210,19263,1021,955,919,909,907,816,654,546,448,384,347,304,263,208,141,93,106,1054,986,973,921,897,935,807,685,534,423,451,391,319,272,228,171,163,2076,1945,1894,1832,1805,1752,1465,1232,983,810,799,697,584,481,370,267,271
2023,PRY,Paraguay,PY,Alto Paraná,PY10,427292,437264,864721,40720,40450,40375,39828,38690,35461,33515,32378,28611,24239,20947,16739,12789,9458,6232,3599,3261,42409,42117,42182,42319,41313,37727,34401,30964,25939,22161,20196,16959,13767,10608,6987,3981,3234,83140,82576,82562,82158,80011,73199,67926,63352,54555,46407,41155,33708,26565,20077,13228,7594,6508
2023,PRY,Paraguay,PY,Amambay,PY13,90007,89682,179729,8784,8695,8605,8389,8001,7571,7151,6548,5450,4420,3892,3367,2845,2288,1600,1051,1350,9148,9018,8872,8563,7970,7547,7154,6470,5345,4429,3887,3259,2644,2116,1476,899,885,17932,17715,17480,16956,15972,15120,14308,13020,10796,8851,7781,6629,5493,4406,3080,1953,2237
2023,PRY,Paraguay,PY,Asunción,PY00,274224,246849,521082,17967,19300,21352,22552,21627,18130,17370,19057,22177,20178,15015,12763,12264,10872,8678,6269,8653,18732,20038,21925,22812,21555,18433,17254,17273,18029,15966,12188,10160,9328,8084,6217,4270,4585,36700,39338,43277,45364,43183,36563,34624,36331,40207,36145,27204,22923,21592,18957,14896,10540,13238
2023,PRY,Paraguay,PY,Boquerón,PY16,34242,36213,70478,3604,3462,3281,3047,2789,2664,2556,2395,2167,1927,1671,1338,1071,819,580,400,471,3743,3589,3396,3156,2933,2829,2776,2711,2415,2030,1807,1481,1129,868,600,375,375,7349,7053,6677,6205,5724,5494,5333,5108,4582,3958,3480,2821,2201,1687,1181,776,849
2023,PRY,Paraguay,PY,Caaguazú,PY05,282732,299517,582451,28539,28522,27989,26671,25154,24558,22674,19056,14598,12139,11785,10805,9107,7380,5453,3647,4655,29719,29654,29111,27969,26984,25986,24233,21487,16880,13582,12503,11159,9615,7854,5586,3569,3626,58266,58187,57111,54654,52149,50558,46917,40556,31490,25736,24296,21977,18737,15247,11049,7227,8294
2023,PRY,Paraguay,PY,Caazapá,PY06,97068,102212,199382,10445,10542,10178,9301,8362,8167,7921,6831,4909,3646,3461,3290,2908,2436,1788,1189,1694,10884,10972,10616,9808,8936,8550,8330,7471,5587,4137,3669,3345,3012,2580,1860,1166,1289,21338,21519,20803,19116,17302,16723,16254,14309,10500,7787,7139,6641,5927,5022,3654,2361,2987
2023,PRY,Paraguay,PY,Canindeyú,PY14,118369,129551,248042,12460,12268,12017,11542,10945,10667,9807,8393,6776,5713,5013,3987,3035,2282,1552,948,964,12970,12757,12510,12072,11575,11308,10556,9443,7884,6620,5935,4914,3870,2963,1975,1176,1023,25439,25031,24534,23619,22526,21980,20371,17844,14666,12343,10954,8909,6915,5254,3533,2131,1993
2023,PRY,Paraguay,PY,Central,PY11,1182129,1146014,2328293,102342,100380,99461,99512,100938,101848,98020,92219,81858,68619,59511,50102,40611,31634,22376,14530,18168,106761,104274,102433,100528,99404,99946,94859,86971,75566,62782,55477,46945,37953,29382,19773,11776,11184,209114,204664,201903,200049,200347,201800,192888,179199,157435,131410,115001,97051,78573,61025,42159,26314,29361
2023,PRY,Paraguay,PY,Concepción,PY01,129105,136779,265978,14306,14243,13774,12774,11634,11101,10425,8907,6277,4634,4471,4141,3583,3011,2258,1526,2040,14904,14817,14371,13489,12505,12148,11642,10135,7193,5184,4606,4163,3650,3031,2173,1367,1401,29214,29066,28150,26268,24145,23255,22074,19046,13472,9825,9082,8309,7239,6049,4436,2899,3449
2023,PRY,Paraguay,PY,Cordillera,PY03,155675,167023,322859,14657,14294,13701,13278,13493,13814,13240,11213,8464,6894,6603,6139,5344,4582,3617,2590,3752,15273,14872,14238,13878,14570,15213,15012,13492,10466,7978,6891,6199,5535,4756,3587,2399,2664,29940,29173,27948,27170,28076,29034,28263,24714,18940,14884,13501,12346,10893,9345,7212,4997,6423
2023,PRY,Paraguay,PY,Guairá,PY04,113938,120682,234768,10524,10614,10372,9711,8983,9197,9291,8544,6894,5390,5025,4744,4163,3481,2624,1802,2579,10963,11041,10802,10264,9739,9795,9999,9612,7801,6086,5475,5003,4374,3688,2628,1645,1767,21496,21667,21185,19980,18734,19002,19301,18164,14704,11487,10509,9756,8547,7176,5254,3455,4351
2023,PRY,Paraguay,PY,Itapúa,PY07,318279,323969,642493,30994,30507,30442,30228,29166,27357,25490,22950,18474,14806,13563,11931,9913,7970,5743,3801,4944,32292,31719,31599,31313,29964,27486,24983,22256,18304,15117,13834,12200,10517,8665,6126,3791,3803,63301,62237,62052,61555,59140,54857,50490,45221,36798,29939,27417,24142,20447,16649,11880,7609,8759
2023,PRY,Paraguay,PY,Misiones,PY08,66042,67023,133152,6058,5894,5719,5629,5782,5655,5414,4850,3788,3102,2881,2670,2414,2068,1571,1073,1474,6312,6127,5932,5814,6016,5829,5706,5310,3776,2924,2729,2497,2309,2073,1567,1020,1082,12376,12025,11658,11451,11804,11486,11126,10166,7568,6029,5617,5170,4727,4146,3143,2099,2561
2023,PRY,Paraguay,PY,Paraguarí,PY09,127075,135707,262935,10800,11086,11144,10801,10307,10234,10347,9303,7047,5667,5593,5399,4989,4458,3567,2588,3745,11247,11566,11725,11573,11404,11312,11436,10730,8448,6492,5960,5641,5228,4615,3487,2301,2542,22054,22661,22880,22384,21718,21559,21790,20039,15502,12165,11561,11050,10225,9084,7064,4901,6298
2023,PRY,Paraguay,PY,Pdte. Hayes,PY15,65112,69643,134807,7065,6818,6496,6126,5800,5628,5122,4385,3571,2950,2675,2310,1894,1516,1100,735,921,7337,7065,6731,6355,6063,5841,5512,5055,4228,3412,3018,2570,2124,1700,1184,733,715,14404,13886,13229,12484,11867,11471,10640,9442,7800,6366,5697,4882,4022,3219,2289,1470,1639
2023,PRY,Paraguay,PY,San Pedro,PY02,215867,234578,450633,23120,23290,22768,21082,18960,18491,17287,14501,10685,8606,8288,7497,6351,5201,3864,2640,3236,24076,24212,23705,22212,20323,19777,18956,16918,13242,10525,9574,8454,7212,5895,4187,2649,2661,47208,47510,46482,43304,39299,38282,36254,31430,23935,19143,17875,15964,13571,11104,8064,5301,5907
2023,PRY,Paraguay,PY,Ñeembucú,PY12,45741,45707,91588,3444,3534,3563,3450,3273,3282,3537,3561,3132,2656,2494,2326,2026,1745,1390,988,1340,3587,3699,3786,3686,3369,3169,3316,3283,2922,2729,2629,2406,2086,1781,1374,916,969,7037,7242,7354,7144,6650,6460,6860,6850,6063,5392,5131,4737,4124,3537,2775,1914,2318
